ADM_RATE,AGE_ENTRY,AVGFACSAL,CONTROL,COSTT4_A,ENDOWBEGIN,FEMALE,FIRST_GEN,GRAD_DEBT_MDN,LOCALE,MD_EARN_WNE_P10,MN_EARN_WNE_P10,PCIP14,PCIP27,PFTFAC,PCT_ASIAN,PCT_BLACK,PCT_WHITE,PCT_HISPANIC,PCTPELL,REGION,SAT_AVG,UGDS
0.716,20.283741368,8779,Public,21924,NA,0.5640301318,0.3658280922,31000,City,39059,35500,0.121,0.0089,0.6833,1.4800000190734801,47.9799995422363,46.8400001525878,3.78999996185302,0.6853,Southeast,954,5098
0.8854,23.60797466,11590,Public,26248,539858544,0.6390907397,0.341223671,22300,City,50907,48400,0.0559,0.0111,0.7564,1.10000002384185,27.7600002288818,69.0199966430664,2.02999997138977,0.3253,Southeast,1266,13284
NA,33.672297297,4672,Private-NP,NA,174818,0.6486486486,0.5125,32189,City,37730,47600,0,0,0.7872,1.28999996185302,22.5300006866455,70.8799972534179,6.94000005722046,0.7852,Southeast,NA,251
0.7367,22.727919632,9820,Public,24869,75837207,0.4763499372,0.3101321586,20705,City,56901,52000,0.3028,0.0091,0.6538,1.41999995708465,18.9799995422363,76.3799972534179,2.54999995231628,0.2377,Southeast,1300,7358
0.9799,20.130990415,7701,Public,21938,111315175,0.6134185304,0.3434343434,31000,City,34018,30600,0.0138,0.0138,0.6812,1.40999996662139,52.3199996948242,42.6899986267089,4.09000015258789,0.7205,Southeast,955,3495
0.789,21.137701396,10509,Public,31050,939393269,0.6152524168,0.2257126887,22750,City,56118,51600,0.1198,0.0088,0.7753,1.20000004768371,21.0599994659423,75.3499984741211,2.41000008583068,0.1712,Southeast,1244,30725
NA,30.384765625,8834,Public,NA,4496491,0.705078125,0.4774964838,18051,Town,45311,42400,0,0.0174,0.4554,0.64999997615814,12.2600002288818,83.8899993896484,2.40000009536743,0.4036,Southeast,NA,2511
0.968,22.199804114,7885,Public,20621,52113787,0.6929480901,0.38189609,25000,City,43743,38000,0,0.0069,0.6901,0.91000002622604,37.2099990844726,59.9700012207031,1.62000000476837,0.4821,Southeast,1069,3742
0.7118,20.516795866,11093,Public,32678,784621493,0.531504671,0.1726471191,21000,City,61042,56300,0.1897,0.0068,0.8436,1.64999997615814,19.7999992370605,75.9000015258789,2.89000010490417,0.1301,Southeast,NA,24782
0.6591,19.64479638,7636,Private-NP,33920,49403369,0.520361991,0.1724941725,25000,City,55236,53100,0.0077,0.0421,0.8295,1.38999998569488,17.4099998474121,78.9000015258789,2.46000003814697,0.2152,Southeast,1214,1048
0.646,28.260475651,6271,Private-NP,36457,17838794,0.6387315968,0.4300319489,23000,City,41523,40700,0,0.0128,0.5511,1.04999995231628,31.8899993896484,64.8799972534179,1.80999994277954,0.461,Southeast,1042,1696
0.693,23.017751479,7133,Private-NP,39177,51910937,0.4704142012,0.3456,27000,City,47328,43600,0,0.0082,0.7975,0.93000000715255,23.6700000762939,73.1999969482422,1.90999996662139,0.3946,Southeast,1111,838
0.7634,22.62058319,7499,Public,22023,13976189,0.5886792453,0.3637702504,22189,Surbuban,41504,38100,0,0.0089,0.6823,0.6700000166893,19.7000007629394,76.9599990844726,2.66000008583068,0.4109,Southeast,1030,6992
0.7433,22.259482759,6730,Public,22525,428958,0.5577586207,0.403210576,24944,Rural,38617,40400,0,0.013,0.4596,0.40000000596046,42.4799995422363,55.4900016784668,1.71000003814697,0.5294,Southeast,1017,2310
NA,21.322740113,4917,Private-NP,22857,24402543,0.4668079096,0.4164588529,31217,Surbuban,30847,29500,0,0.0098,0.6964,0.93999999761581,60.7200012207031,35.8800010681152,2.81999993324279,0.7826,Southeast,NA,1517
0.6409,23.917989418,5411,Private-NP,37823,17265742,0.6732804233,0.3242857143,26500,Rural,43640,38700,0,0.0042,1,1.02999997138977,25.1000003814697,71.0400009155273,2.31999993324279,0.2869,Southeast,NA,1112
0.9009,21.02364532,7518,Public,26709,24840444,0.6827586207,0.3252375924,24000,Surbuban,40439,36100,0,0.0185,0.6414,0.75999999046325,19.2999992370605,77.8000030517578,2.07999992370605,0.395,Southeast,1131,2184
0.8997,21.425309598,8567,Public,21507,39458675,0.6013931889,0.36326024,22077,City,42601,42800,0,0.0048,0.659,0.55000001192092,13.2200002670288,83.7600021362304,2.04999995231628,0.3409,Southeast,NA,5165
0.7185,21.73015873,5011,Private-NP,37238,20201402,0.5860805861,0.17623498,27000,City,41219,37400,0,0.0152,0.9492,3.17000007629394,34.9099998474121,54.4000015258789,10.0100002288818,0.472,Southeast,NA,1353
0.8387,21.151869159,9220,Private-NP,51314,332869066,0.6588785047,0.1380552221,19500,Surbuban,54742,59800,0,0.0033,0.9898,1.69000005722045,14.6999998092651,80.9100036621093,3.25,0.1149,Southeast,1236,3604
0.7078,21.947266881,7494,Public,22139,470288000,0.6229367631,0.334257975,24929,City,45018,46800,0.0929,0.0063,0.5766,1.46000003814697,24.6800003051757,71.4300003051757,1.70000004768371,0.3672,Southeast,1132,8631
0.7152,19.902140673,5519,Private-NP,56502,17236188,0.6452599388,0.2516339869,27000,City,51166,51300,0.0041,0.0041,0.7748,1.75999999046325,22.5400009155273,72.6600036621093,4.75,0.3648,Southeast,1019,989
0.758,21.027729636,5110,Private-NP,24540,18932197,0.4610051993,0.4105058366,29067,City,34087,33700,0,0.0082,0.5542,1.44000005722045,49.0499992370605,45.75,4.44000005722045,0.7433,Southeast,NA,721
NA,21.151639344,6315,Private-NP,22696,2561968,0.4897540984,0.3980582524,28500,Town,30032,23900,0,0.007,0.5181,1.07000005245208,52.1399993896484,43.0900001525878,4.71000003814697,0.7167,Southeast,NA,1144
0.9527,25.749796913,7194,Public,21376,152060888,0.6510154346,0.3898457122,25000,Town,41691,41100,0,0.0049,0.4692,1.07000005245208,34,62.0200004577636,2.81999993324279,0.4028,Southeast,1082,10916
0.342,19.723193916,7398,Private-NP,41991,123415957,0.6509505703,0.2306438468,27000,Town,43878,42200,0.1962,0.0189,0.886,2.84999990463256,47.1599998474121,42.8499984741211,8.98999977111816,0.1318,Southeast,1080,2184
