ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,OCCUPATION_TYPE,AGE_YEARS,EMPLOYED_YEARS,CNT_CHILDREN,AMT_INCOME_TOTAL,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,MONTHS_BALANCE,STATUS,n_months,n_paid_off,n_no_loan,n_overdue_1_29,n_overdue_30_59,n_overdue_60_89,n_overdue_90_119,n_overdue_120_149,n_overdue_150plus,ever_defaulted,worst_status,recent_status
5008804,0,1,1,0,0,0,0,0,32.87,12.44,0,427500,-12005,-4542,1,1,0,0,2,0,C,16,13,1,1,1,0,0,0,0,0,1,C
5008805,0,1,1,0,0,0,0,0,32.87,12.44,0,427500,-12005,-4542,1,1,0,0,2,0,C,15,12,1,1,1,0,0,0,0,0,1,C
5008806,0,1,1,0,1,1,1,1,58.79,3.1,0,112500,-21474,-1134,1,0,0,0,2,0,C,30,7,16,7,0,0,0,0,0,0,0,C
5008808,1,0,1,1,1,2,1,2,52.32,8.35,0,270000,-19110,-3051,1,0,1,1,1,0,0,5,0,3,2,0,0,0,0,0,0,0,0
5008809,1,0,1,1,1,2,1,2,52.32,8.35,0,270000,-19110,-3051,1,0,1,1,1,-22,X,5,0,5,0,0,0,0,0,0,0,#NAME?,X
5008810,1,0,1,1,1,2,1,2,52.32,8.35,0,270000,-19110,-3051,1,0,1,1,1,0,C,27,15,6,6,0,0,0,0,0,0,0,C
5008811,1,0,1,1,1,2,1,2,52.32,8.35,0,270000,-19110,-3051,1,0,1,1,1,0,C,39,27,6,6,0,0,0,0,0,0,0,C
5008812,1,0,1,2,0,3,1,0,61.5,999.98,0,283500,-22464,365243,1,0,0,0,1,-4,0,17,0,3,14,0,0,0,0,0,0,0,0
5008813,1,0,1,2,0,3,1,0,61.5,999.98,0,283500,-22464,365243,1,0,0,0,1,0,0,17,0,3,14,0,0,0,0,0,0,0,0
5008814,1,0,1,2,0,3,1,0,61.5,999.98,0,283500,-22464,365243,1,0,0,0,1,-1,0,17,0,3,14,0,0,0,0,0,0,0,0
5008815,0,1,1,0,0,1,1,3,46.19,2.11,0,270000,-16872,-769,1,1,1,1,2,0,0,6,0,0,6,0,0,0,0,0,0,0,0
5008819,0,1,1,1,1,1,1,4,48.67,3.27,0,135000,-17778,-1194,1,0,0,0,2,-10,X,8,0,8,0,0,0,0,0,0,0,#NAME?,X
5008820,0,1,1,1,1,1,1,4,48.67,3.27,0,135000,-17778,-1194,1,0,0,0,2,-8,X,9,0,8,1,0,0,0,0,0,0,0,X
5008821,0,1,1,1,1,1,1,4,48.67,3.27,0,135000,-17778,-1194,1,0,0,0,2,0,X,9,0,3,6,0,0,0,0,0,0,0,X
5008822,0,1,1,1,1,1,1,4,48.67,3.27,0,135000,-17778,-1194,1,0,0,0,2,-14,X,9,0,8,1,0,0,0,0,0,0,0,X
5008823,0,1,1,1,1,1,1,4,48.67,3.27,0,135000,-17778,-1194,1,0,0,0,2,-3,X,5,0,1,4,0,0,0,0,0,0,0,X
5008824,0,1,1,1,1,1,1,4,48.67,3.27,0,135000,-17778,-1194,1,0,0,0,2,0,0,4,0,0,4,0,0,0,0,0,0,0,0
5008825,1,1,0,0,2,1,1,3,29.21,3.02,0,130500,-10669,-1103,1,0,0,0,2,0,0,26,0,0,25,1,0,0,0,0,0,1,0
5008826,1,1,0,0,2,1,1,3,29.21,3.02,0,130500,-10669,-1103,1,0,0,0,2,-1,C,30,18,0,5,7,0,0,0,0,0,1,C
5008827,0,1,1,2,0,1,1,0,51.39,999.98,0,180000,-18772,365243,1,0,0,0,2,0,C,38,19,0,2,8,2,1,1,5,1,5,C
5008830,1,0,1,0,1,1,1,4,27.46,4.02,0,157500,-10031,-1469,1,0,1,0,2,0,C,32,16,1,13,2,0,0,0,0,0,1,C
5008831,1,0,1,0,1,1,1,4,27.46,4.02,0,157500,-10031,-1469,1,0,1,0,2,0,C,20,4,1,13,2,0,0,0,0,0,1,C
5008832,1,0,1,0,1,1,1,4,27.46,4.02,0,157500,-10031,-1469,1,0,1,0,2,0,C,35,19,1,13,2,0,0,0,0,0,1,C
5008834,1,0,1,0,1,2,1,0,30.03,4.44,1,112500,-10968,-1620,1,0,0,0,2,0,C,45,40,0,5,0,0,0,0,0,0,0,C
5008835,1,0,1,0,1,2,1,0,30.03,4.44,1,112500,-10968,-1620,1,0,0,0,2,-28,X,17,0,14,3,0,0,0,0,0,0,0,X
5008836,0,1,1,0,1,1,1,4,34.74,3.18,3,270000,-12689,-1163,1,0,0,0,5,-8,C,17,16,0,1,0,0,0,0,0,0,0,C
5008837,0,1,1,0,1,1,1,4,34.74,3.18,3,270000,-12689,-1163,1,0,0,0,5,-2,C,17,16,0,1,0,0,0,0,0,0,0,C
5008838,0,0,1,1,0,1,1,5,32.42,5.52,1,405000,-11842,-2016,1,0,0,0,3,-9,X,31,0,2,29,0,0,0,0,0,0,0,X
5008839,0,0,1,1,0,1,1,5,32.42,5.52,1,405000,-11842,-2016,1,0,0,0,3,0,C,14,4,0,10,0,0,0,0,0,0,0,C
5008840,0,0,1,1,0,1,1,5,32.42,5.52,1,405000,-11842,-2016,1,0,0,0,3,0,C,56,46,0,10,0,0,0,0,0,0,0,C
5008841,0,0,1,1,0,1,1,5,32.42,5.52,1,405000,-11842,-2016,1,0,0,0,3,0,0,5,0,1,4,0,0,0,0,0,0,0,0
5008842,0,0,1,1,0,1,1,5,32.42,5.52,1,405000,-11842,-2016,1,0,0,0,3,0,0,9,0,0,9,0,0,0,0,0,0,0,0
5008843,0,0,1,1,0,1,1,5,32.42,5.52,1,405000,-11842,-2016,1,0,0,0,3,0,C,30,20,0,10,0,0,0,0,0,0,0,C
5008844,0,1,1,1,1,1,1,6,56.13,12.18,0,112500,-20502,-4450,1,0,1,0,2,-11,C,33,7,0,26,0,0,0,0,0,0,0,C
5008846,0,1,1,1,1,1,1,6,56.13,12.18,0,112500,-20502,-4450,1,0,1,0,2,0,0,12,0,0,12,0,0,0,0,0,0,0,0
5008847,0,1,1,1,1,1,1,6,56.13,12.18,0,112500,-20502,-4450,1,0,1,0,2,-14,C,33,7,0,26,0,0,0,0,0,0,0,C
5008849,0,1,1,1,1,1,1,6,56.13,12.18,0,112500,-20502,-4450,1,0,1,0,2,-40,C,12,6,1,5,0,0,0,0,0,0,0,C
5008850,0,1,1,1,1,1,1,6,56.13,12.18,0,112500,-20502,-4450,1,0,1,0,2,0,0,26,0,0,26,0,0,0,0,0,0,0,0
5008851,0,1,1,1,1,1,1,6,56.13,12.18,0,112500,-20502,-4450,1,0,1,0,2,0,0,12,0,0,12,0,0,0,0,0,0,0,0
5008852,0,1,1,1,1,1,1,6,56.13,12.18,0,112500,-20502,-4450,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5008853,0,1,1,1,1,1,1,6,56.13,12.18,0,112500,-20502,-4450,1,0,1,0,2,-24,C,16,5,0,11,0,0,0,0,0,0,0,C
5008854,1,1,1,0,1,1,1,4,43.15,8.69,2,135000,-15761,-3173,1,0,0,0,4,-38,0,2,0,0,2,0,0,0,0,0,0,0,0
5008855,1,1,1,0,1,1,1,4,43.15,8.69,2,135000,-15761,-3173,1,0,0,0,4,0,C,29,22,1,6,0,0,0,0,0,0,0,C
5008856,1,1,1,0,1,1,1,4,43.15,8.69,2,135000,-15761,-3173,1,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0
5008857,1,1,1,0,1,1,1,4,43.15,8.69,2,135000,-15761,-3173,1,0,0,0,4,0,X,28,0,28,0,0,0,0,0,0,0,#NAME?,X
5008858,1,1,1,0,1,1,1,4,43.15,8.69,2,135000,-15761,-3173,1,0,0,0,4,0,C,11,1,0,10,0,0,0,0,0,0,0,C
5008859,1,1,1,0,1,1,1,4,43.15,8.69,2,135000,-15761,-3173,1,0,0,0,4,0,0,5,0,0,5,0,0,0,0,0,0,0,0
5008860,1,1,1,0,1,1,1,4,43.15,8.69,2,135000,-15761,-3173,1,0,0,0,4,0,0,4,0,1,3,0,0,0,0,0,0,0,0
5008861,1,1,1,0,1,1,1,4,43.15,8.69,2,135000,-15761,-3173,1,0,0,0,4,0,0,4,0,1,3,0,0,0,0,0,0,0,0
5008862,1,1,1,0,1,1,1,4,43.15,8.69,2,135000,-15761,-3173,1,0,0,0,4,0,0,3,0,1,2,0,0,0,0,0,0,0,0
5008863,1,1,1,0,1,1,1,4,43.15,8.69,2,135000,-15761,-3173,1,0,0,0,4,-1,0,2,0,0,2,0,0,0,0,0,0,0,0
5008864,1,1,1,0,1,1,1,4,43.15,8.69,2,135000,-15761,-3173,1,0,0,0,4,0,0,3,0,1,2,0,0,0,0,0,0,0,0
5008865,1,1,1,0,1,1,1,4,43.15,8.69,2,135000,-15761,-3173,1,0,0,0,4,-7,0,2,0,0,2,0,0,0,0,0,0,0,0
5008866,1,1,1,0,1,1,1,4,43.15,8.69,2,135000,-15761,-3173,1,0,0,0,4,-18,0,2,0,0,2,0,0,0,0,0,0,0,0
5008867,1,1,1,0,1,1,1,4,43.15,8.69,2,135000,-15761,-3173,1,0,0,0,4,-22,X,4,0,2,2,0,0,0,0,0,0,0,X
5008868,1,0,1,3,1,0,1,7,44.39,19.44,1,211500,-16212,-7099,1,0,0,0,3,0,0,25,0,0,25,0,0,0,0,0,0,0,0
5008870,1,0,1,3,1,0,1,7,44.39,19.44,1,211500,-16212,-7099,1,0,0,0,3,-9,0,12,0,0,12,0,0,0,0,0,0,0,0
5008872,0,1,1,1,1,1,1,1,45.64,14.69,0,360000,-16670,-5364,1,0,1,0,2,0,0,11,0,2,8,1,0,0,0,0,0,1,0
5008873,1,0,1,1,0,1,1,5,33.98,4.85,2,126000,-12411,-1773,1,0,0,1,4,0,C,22,16,0,6,0,0,0,0,0,0,0,C
5008874,1,0,1,1,0,1,1,5,33.98,4.85,2,126000,-12411,-1773,1,0,0,1,4,0,C,46,40,0,6,0,0,0,0,0,0,0,C
5008875,1,0,1,1,0,1,1,5,33.98,4.85,2,126000,-12411,-1773,1,0,0,1,4,0,C,40,31,0,9,0,0,0,0,0,0,0,C
5008876,1,0,1,1,0,1,1,5,33.98,4.85,2,126000,-12411,-1773,1,0,0,1,4,0,C,44,41,0,3,0,0,0,0,0,0,0,C
5008877,1,0,1,1,0,1,1,5,33.98,4.85,2,126000,-12411,-1773,1,0,0,1,4,0,C,8,2,0,6,0,0,0,0,0,0,0,C
5008878,1,0,1,1,0,1,1,5,33.98,4.85,2,126000,-12411,-1773,1,0,0,1,4,-32,1,12,0,0,9,3,0,0,0,0,0,1,1
5008879,1,0,1,1,0,1,1,5,33.98,4.85,2,126000,-12411,-1773,1,0,0,1,4,0,C,22,16,0,6,0,0,0,0,0,0,0,C
5008880,1,0,1,1,0,1,1,5,33.98,4.85,2,126000,-12411,-1773,1,0,0,1,4,0,C,11,5,0,6,0,0,0,0,0,0,0,C
5008881,1,0,1,1,0,1,1,5,33.98,4.85,2,126000,-12411,-1773,1,0,0,1,4,0,C,20,14,0,6,0,0,0,0,0,0,0,C
5008882,1,0,1,1,0,1,1,5,33.98,4.85,2,126000,-12411,-1773,1,0,0,1,4,-6,C,40,31,0,9,0,0,0,0,0,0,0,C
5008884,1,0,1,2,1,4,1,0,55.27,999.98,0,315000,-20186,365243,1,0,0,0,1,0,C,41,23,14,4,0,0,0,0,0,0,0,C
5008888,1,0,1,1,0,3,0,7,46.59,3.69,0,247500,-17016,-1347,1,0,0,0,1,-6,X,6,0,2,4,0,0,0,0,0,0,0,X
5008889,1,0,1,1,0,3,0,7,46.59,3.69,0,247500,-17016,-1347,1,0,0,0,1,0,0,5,0,2,3,0,0,0,0,0,0,0,0
5008890,1,0,1,1,0,3,0,7,46.59,3.69,0,247500,-17016,-1347,1,0,0,0,1,-43,X,6,0,2,4,0,0,0,0,0,0,0,X
5008891,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,8,7,0,1,0,0,0,0,0,0,0,C
5008892,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,-22,C,16,15,0,1,0,0,0,0,0,0,0,C
5008893,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,37,37,0,0,0,0,0,0,0,0,#NAME?,C
5008894,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,37,37,0,0,0,0,0,0,0,0,#NAME?,C
5008895,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,0,C,35,35,0,0,0,0,0,0,0,0,#NAME?,C
5008896,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,-19,C,16,15,0,1,0,0,0,0,0,0,0,C
5008897,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,-17,C,16,15,0,1,0,0,0,0,0,0,0,C
5008898,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,-11,C,21,21,0,0,0,0,0,0,0,0,#NAME?,C
5008899,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,-15,C,16,15,0,1,0,0,0,0,0,0,0,C
5008900,1,0,1,1,1,2,0,4,42.49,8.85,0,297000,-15519,-3234,1,0,0,0,1,-9,C,21,21,0,0,0,0,0,0,0,0,#NAME?,C
